formation_month,top_10,portfolio_return
2004-03,"TRB,BLS,CMI,NVDA,EP,BDK,IGT,ROK,EA,AAPL",-0.0669539664955235
2004-04,"CIN,AYE,EBAY,RHI,EP,MTG,F,FBF,SYK,MAR",0.02461445539137
2004-05,"GR,TRB,FBF,CBE,DDS,ATI,WMB,KLAC,ADI,NVDA",2.717463365862085
2004-06,"CBE,BOL,ATI,SLR,BLS,ADSK,FLR,CIN,NUE,AAPL",-0.1350119626637096
2004-09,"CBE,UVN,GDW,IGT,KBH,VLO,NUE,BBY,RIG,NVDA",-0.0104737540688759
2004-10,"AAPL,GLK,AMD,CIEN,TER,PH,GDW,A,EIX,LUV",0.1085141330190778
2004-11,"X,WMB,BLS,NVDA,GLK,ATI,HUM,AAPL,SLR,AMD",-0.0260967330958369
2004-12,"UVN,CIEN,AYE,EA,NVDA,HUM,KBH,PEG,CI,GT",0.0431674441221449
2005-01,"SOV,AYE,GR,WEN,AAPL,GLK,PBG,HUM,GDW,VLO",0.1729837019251137
2005-02,"CBE,GDW,EP,TRB,SFA,VLO,GR,NVDA,EOG,XOM",-0.102203566884648
2005-04,"CIEN,EP,GLW,ROH,GR,ACS,LLY,WAT,EFX,BAX",0.0064239244861043
2005-05,"BLS,SANM,ADSK,NVDA,EP,GT,AON,JWN,EBAY,ASN",0.0397995304140957
2005-06,"TRB,GLK,BBY,BLS,ASN,CIN,HRB,ODP,TPR,VLO",0.0700162220341459
2005-08,"ASN,VLO,ADSK,BLS,NOV,A,CFC,HUM,AON,NVDA",0.03340136258448
2005-10,"KRB,R,NTAP,EMN,STT,ROH,SBUX,COST,CB,DD",0.0058081606730072
2005-11,"BSC,ACS,X,TRB,CIEN,PBG,VIAV,UIS,AAPL,LEG",0.1292836358563124
2005-12,"BSC,GR,BDK,TRB,HUM,DDS,UVN,AMD,NEM,ACS",-0.0537783966755999
2006-03,"GR,VIAV,CIEN,JNY,NUE,NVDA,ATI,FCX,AYE,JBL",0.0248050999954398
2006-04,"GR,OMX,SANM,BRL,ASN,CMCSA,ACS,R,SLR,MU",-0.0033053347231792
2006-06,"CBE,TRB,DDS,GOOGL,CIEN,AMZN,DRI,CMI,MRK,WBA",-0.0793272546644751
2006-08,"THC,NVDA,AMD,F,SLR,CI,GT,CSCO,BSC,ASN",0.0501264544650012
2006-09,"CBE,ROH,DRI,JNPR,GDW,BDK,BSC,EFX,ADBE,BMY",-0.028222939372694
2006-10,"ASN,ATI,AYE,PBG,NUE,NSC,AMZN,GOOGL,NVDA,X",0.0595906155274434
2007-02,"CFC,BRL,BDK,BSC,TEX,WY,NOV,VMC,GR,CMVT",0.5543368873644958
2007-04,"BRL,AMZN,SLM,UVN,CMI,CVG,WHR,PBG,HON,MRK",0.0432584267555503
2007-05,"TRB,MO,ASN,AAPL,FCX,CIEN,SCHW,CNX,VZ,TT",0.0175023559452604
2007-06,"CPWR,BOL,ASN,TIN,NVDA,F,NOV,UIS,SLB,RIG",0.0421859492456943
2007-08,"BDK,MS,KIM,PBG,DE,BIIB,ANF,GR,NVDA,LOW",0.0332423286165814
2007-09,"TRB,BDK,BOL,GS,FCX,ASN,CNX,AMZN,APA,MUR",0.0057539963109188
2007-11,"BDK,THC,MTG,VRSN,AIZ,UNH,DE,AON,MKC,EMR",-0.1086240763904448
2008-02,"CFC,BSC,CPWR,HET,BDK,EOG,VIAV,TAP,DVN,APA",-0.0165909978686605
2008-04,"BDK,MO,F,CMI,GOOGL,MU,HAS,AKAM,ITT,MTG",0.1431894258731212
2008-07,"BSC,BDK,ACS,ROH,BAC,FITB,MBI,AMGN,FHN,WFC",0.0227662967165043
2008-08,"SSP,SOV,MBI,FIS,AMD,MTG,RL,TIE,DDS,LOW",-0.1089083041766527
2008-10,"ROH,FHN,HBAN,RF,MU,AYE,ICE,CB,EP,TLAB",-0.2213722661040198
2008-12,"ACS,ROH,HIG,CPWR,GNW,PFG,DRI,ODP,PRU,M",-0.1965986679788625
2009-01,"SOV,GR,EP,MU,SLM,MS,MEE,CMS,A,RIG",-0.1156535577444042
2009-03,"AIG,BAC,C,MBI,GNW,JNY,KBH,CIEN,GT,AMD",0.4209148583233702
2009-04,"F,JNY,PFG,ODP,WYNN,HST,THC,DD,TXT,CBRE",0.2032124429491387
2009-05,"GNW,ODP,LNC,FITB,THC,COF,CME,CPWR,AES,IGT",-0.0376388653866758
2009-07,"TGNA,MEE,GT,MAS,WYNN,NYT,COF,HOG,THC,TXT",0.108039306719359
2009-10,"EP,CAH,AMZN,KG,MCO,EL,SPGI,KR,AKAM,SLM",0.0895757376972674
2009-12,"TGNA,NYT,NVDA,MU,AMD,ATI,JBL,TIE,KG,LUV",-0.0772123807999584
2010-03,"AIG,GR,TIE,GME,CLF,ANF,PFG,HST,ATI,PCAR",-0.0857612584711234
2010-04,"MEE,ZION,HBAN,WHR,AKAM,AIV,AVB,VMC,BDK,EOG",-0.0644636056878216
2010-05,"TIE,CPWR,TMUS,KDP,TDC,NTAP,MCK,HAS,FIS,ORLY",0.0240568646919898
2010-06,"EP,CPWR,NEM,SRCL,SJM,AMT,MTB,BMY,CB,WEC",0.0373419367373774
2010-07,"CPWR,IPG,CF,BKNG,F,AN,CBRE,EXPD,HOG,TXT",-0.0460606597364086
